,comentario,machista,fuenteURL,titulo,tipoFuente,nombreMedio,generoProtagonista,numeroProtagonista,ambito,numeroComentarios,tematica,delete,fuenteID
22,No en todas partes también hay vacas pastando por grandes terrenos .,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
23,luego somos nosotres la generación de cristal y vosotres os enfadais por una letra diferente,1,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
24,"No entiendo por qué nadie te contesta ""yo no prohibiría nada"". La gente, ya no sabe lo que es la libertad. Creen que se puede prohibir, prohibir y prohibir, y no saben explicar que aceptan lo que les da la gana porque son libres. Hipócrita la gente pero más tú, que vives de hacer quedar a los demás en ridículo.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
25,"eres vegano, me siento estafado :(",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
26,"Roma, un matadero no es ningún espectáculo de maltrato.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
27,"pues no,pero a medida que ibas creciendo se te iban imponiendo unos estereotipos (creo que eres un chico y no se si serás mayor) que te dejan claro cuál es tu sexo biológico,pero para mí al menos,como chica trans, el género va más allá de eso. por eso a medida que creces te das cuenta de lo que realmente te identifica a ti,sin tener en cuenta a veces los estereotipos. para mí una mujer trans no tiene que ponerse una falda o tiene que dejarse pelo largo para realmente poder ser una mujer (si lo haces eres completamente válida) pero la mayoría optan por eso a veces para encajar en la sociedad y otras veces simplemente para sentirse cómodas con ellas mismas",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
28,"Elian sé a lo que te refieres, eso es un mecanismo de defensa que tienen, es normal tenerlo para cualquier especie. Los animales sufren mucho más ya que son mas parecidos a nosotros, tienen cerebro (la mayoría), eso significa que pueden sufrir estrés y ansiedad en situaciones dónde se encuentren  asustados, además que poseen un sistema nervioso como el nuestro, por tanto sienten lo mismo que nosotros al hacerse daño. La mayoría de animales se alimentan de plantas, igual q nosotros. Y eso, es lo que te he dicho antes, si no existieran las granjas no necesitaríamos tantas plantas para alimentarlos y la contaminación bajaría.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
29,"Gil no es un huerto ,es lo que conlleva hacer la agricultura ,que es destrozar ecosistemas como un bosque lleno de animales ,por ejemplo ,pasar máquinas tractores ,máquinas para arar la tierra ,este proceso mata un montón de animales como conejos ,ratones ,topos etc y después fertilizantes que contaminan y acaban con un montón de vida también .No digo que sea mejor la ganadería pero la agricultura también es muy destructiva .",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
30,Toda la entrevista hablando normal y suelta eso al final . Ni ellas mismas se lo creen.,C,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
31,"Con la población mundial que hay no creo que haya espacio para que los animales destinados a la alimentación satisfagan la demanda, y claro que el animal sufre menos en el ruedo que en el proceso de preparación para su matanza, pero en las dos sufre y hay una que es más fácil eliminar para dar un paso",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
32,Pero fuera de coña mal trato animal es mal trato animal se cría para comer y listo no para mal tratar y punto mi humilde opinión,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
33,"RJ No me conoces y dices que carezco de cosas, como se llama eso? Sip, soberbia, en ese libro sagrado se condena tal actitud",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
34,"Es que lo que dice tiene total razon, pero es dificil dejar la crianza de dieta a base de animales...  Pero posible, ojo. (Hay religiosos que dicen que Dios hizo a los animales para que los humanos los comieramos. Y no es asi. Eso solo lo dirian los que igniran lo escrito en el libro... creyentes o no)",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
35,En qué mundo las plantas sufren?  Eso os lo inventasteis para autoengañaros y comer carne sin remordimiento.,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
36,Hasta que se declaró vergano hahahahhahaha,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
37,Esa señora era la mejor jajaja muy sincera,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
38,Claro que sí preciosa,C,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
39,"La Percusión no es del Tambor, es el Tamaño de los Huevos de ese Hombres rebotando por el piso",0,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
40,6:57 ¿Me ves desnutrido a mi?  .... Solo le ha faltado sacar el martillo de Thor.,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
41,"Salazar  Deje de soñar amigo, la industria de la carne (no vacas solamente... sino toda la maquinaria, personal, transporte equipamento, comprar forraje almacenarlo,etc) contaminan con CO2 mas que una ciudad con millones de autos. Si las vacas respiran o no ya es un plus a la contaminacion que produce esa industria.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
42,Butterkiller no soy ninguno,C,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
43,"tambien he pensado mucho en este tema, pero realmente hay que asumir cual es nuestro papel en la vida de la chica.  No somos sus padres, ni somos ella misma, ni alguien que le page sus tratamientos para opininar sobre sus decisiones.  Es bueno que trates de aconsejarla de una manera educada, y puedes que tengas razón ya que es muy pequeña, pero existen también casos donde personas han iniciado su procesos hormonales desde muy jóvenes y no se arrepienten de ello. Solo ella sabe como se siente con su decision al fin y al cabo.  Lo que no me agrada es que exista gente que cree tener razon y tener por hecho el saber como se siente ella con respecto a su cuerpo, y a más de opinar sobre las acciones de los demás, piensan que tienen el derecho de insultarlas.",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
44,Féminazis xd,1,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
45,"jeejeje no me molesta. Puedes hablar como quieras en la calle pero entiendo que en un programa de televisión tienes que hablar de la forma menos coloquial posible. Solo hay que ceñirse a las pautas de la RAE, no es tan difícil.",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
46,"golfo Eso espero, no me conoces a mí, como para importarte el supuesto sufrimiento de un supuesto familiar mío que supuestamente ha sufrido. De la misma forma también me la pelan tus vivos y tus muertos, al igual que me la pelas tú, y todo ser viviente ajeno a mí o mi círculo.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
47,"Dice la madre que en la sociedad hay unos ""estereotipos muy marcados"" supongo se referirá a MUJER Y HOMBRE ,tiene gracia porque su hijo a adoptado el "" estereotipo muy marcado"" de mujer. La ideología de género es SURREALISTA.",C,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
48,"M. Claro que éso existe, de hecho no hay ninguna necesidad de causar sufrimiento o dolor para consumir carne.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
49,ClearBlue osea simplemente digo la leche es producida por la madre para darle los nutrientes que está tiene para darle al nacido y ayudarle en su crecimiento en esa etapa. En mi opinión no creo que sea necesario consumir leche o lácteos por 2 razones que son que ya no es nescesario y porque en alguna falta de nutrientes que está posea es fácilmente cambiable por productos naturales,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
50,"M. Veo que tienes falta de compresión lectora. Lo que digo y argumento, es que el causar dolor o sufrimiento no es una condición intrínseca del consumir carne o conseguir carne.    Y por lo que veo tampoco te informas bien ¿Sabes qué es la ganadería extensiva? O ¿Conoces la granjas sustentable? Pero en fin, tu falta de información se ve reflejado en tus argumentos.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
51,"1918 así como hay mujeres con bigote por desórdenes hormonales, también hay personas con cuerpo de hombre pero con genes XX por desórdenes genéticos, estás enfermedades provocan seres humanos híbridos entre los dos sexos",C,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
52,tú no sabes que las personas tenemos cierto grado de inteligencia y cualidades (la empatía entre ellas) que nos diferencian de los animales salvajes?,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
53,Suelo estar de acuerdo contigo.Pero no tiene nada q ver matar a un animal con torturarlo.Comer no es disfrutar.Es una necesidad vital,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
54,cómo se cazarían animales libres si ya no existen lugares en los que hayan,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
55,"Estas equivocado. Las plantas no sienten dolor. Tampoco siente emociones como miedo, tristeza, alegría o amor, por que no tienen cerebro como los animales. De todas formas clavale un cuchillo a un perro y a un melocotón, y te darás cuenta del sufrimiento que ejerces.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
56,luis UrbanoMe estas poniendo los cuernos?,0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
57,Moreno Xjulop92&. (Supongo que opinará usted lo mismo).,0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
58,Yo:existo   Feminazi:sos un violador,1,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
59,"La chica a favor de q se coman la carne de los animales pero que estos se crien en libertad, se estaba refiriendo a las dehesas, y allí sí que se crían.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
60,Glenda Julen julon yo también creeo eso por eso no seas feminazi y comiensa a respetar a hombres,1,https://www.youtube.com/watch?v=EviNPfSmoQs,A casa que hay que hacer la cena y los MEMES FEMINISTAS,comentarios de video,youtube,mujer,general,mixto,1801.0,manifestación;acto público;youtuber,,Y2
61,"Supongo que Roma anda sin vacunas, porque para hacerlas se tuvo que hacer pruebas en animales, y para sostener su congruencia, no se las puso. :/",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
62,"F.p Actriz_official No sé si te han enseñado Lengua Castellana o Chino Mandarín, pero en castellano para hablar de un grupo en el que hay gente de los dos sexos, se dice en masculino.",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
63,"que cada uno coma y vea lo que le de la gana que coñazo estos debates, la sociedad cada vez mas gilipollas, no hay que dejar de comer nada ni obligar a nada, porque salga un caso o varios que son mínimos de maltratos a animales en mataderos no hay que generalizar hay que solucionar esos caso, tmbn me parece lamentable comparar apedrear una mujer con una corrida de toros y el único problema que hay aqui esquí debe de haber una producción controlada no tan masiva que lo que se produzca se consuma como cualquier ser vivo cuando tiene que comer...",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
64,Que forma de preguntar tan absolutamente capciosa. Estoy en contra de la tauromaquia y de este tipo de periodismo que parece tomárselo a broma para conseguir audiencia.,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
65,te ago una consulta? si vos estarias adelante de un toro con algo rojo o una bandera roja en España  el toro pensaría si vos vas a sufrir cuando y clava los cuernos?,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
66,"entonces si un chico puede pasar a ser chica, yo podria pasar a ser un helicoptero apache de combate doble telepata de guerra con telescopio molecular?  Pregunto, a ver si nos dejamos de tonterias, no reconocer como eres y has nacido es un problema enorme.",1,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
67,Todo lo que se come es un ser vivo los vegetales son seres vivos y se los mata para comer,0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
68,"Madree mía, el mundo va para atrás en vez de hacia adelante",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
69,"Tú tienes un par de problemas amigo, uno de ellos tu entender retrógrado y tú afán de meter las narices en la vida de los demás... El otro, no saber escribir correctamente ni lo que es una tilde o una coma... ¿Has leído algo más que comentarios de YouTube alguna vez en tu vida de pringao?",0,https://www.youtube.com/watch?v=xEi4WJVdzBM,La rotunda respuesta de una niña trans a la intrusiva pregunta sobre sus genitales - El Intermedio,comentarios de video,youtube,mujer,individual,personal,1783.0,transexual;tv,,Y4
70,"¿Y el maltrato vegetal? ¿asesinar plantas para tu disfrute está bien sólo porque no tienen sistema nervioso? ¿y que las plantas sean tratadas como cosas en centros de producción? yo por mi parte vivo con ello, como carne, vegetales y hongos, y estoy consciente del maltrato que eso significa para cualquier ser vivo, sea asesinado como sea; porque al final alguien o algo va a tener que morir para que yo pueda vivir mejor, es la selección natural, es el instinto de supervivencia.  ¿hasta que punto un cierto trato antes de morir es maltrato o no? pues no existe una respuesta universal, eso depende de la ética de cada persona. No estoy de acuerdo con la tauromaquia, pero tampoco estoy de acuerdo en prohibirla, porque a pesar que mi ethos me dice que es algo inaceptable por ser demasiado sangriento, esto no es así para todos, y todos tienen una ética diferente.",0,https://www.youtube.com/watch?v=lVADjbxNRFA,PROSTITUCIÓN Y FEMINISMO,comentarios de video,youtube,mujer,general,mixto,5000.0,prostitución;opinión calle;youtuber,,Y3
